Pattern;#SUP:
113 -1 122 -1 120 -1 128 -1;420.0
113 -1 122 -1 119 -1 128 -1;412.0
113 -1 122 -1 108 -1 128 -1;96.0
113 -1 122 -1 91 -1 128 -1;192.0
113 -1 122 -1 120 -1 126 -1;525.0
113 -1 122 -1 119 -1 126 -1;515.0
113 -1 122 -1 108 -1 126 -1;120.0
113 -1 122 -1 98 -1 126 -1;105.0
113 -1 122 -1 91 -1 126 -1;240.0
113 -1 122 -1 119 -1 120 -1;618.0
113 -1 122 -1 108 -1 120 -1;144.0
113 -1 122 -1 98 -1 120 -1;120.0
113 -1 122 -1 91 -1 120 -1;282.0
113 -1 122 -1 120 -1 126 -1 128 -1;420.0
113 -1 122 -1 115 -1 119 -1;91.0
113 -1 122 -1 108 -1 119 -1;168.0
113 -1 122 -1 98 -1 119 -1;140.0
113 -1 122 -1 91 -1 119 -1;322.0
113 -1 122 -1 119 -1 120 -1 126 -1;515.0
113 -1 122 -1 119 -1 120 -1 128 -1;412.0
113 -1 122 -1 119 -1 120 -1 126 -1 128 -1;412.0
113 -1 122 -1 119 -1 126 -1 128 -1;412.0
113 -1 122 -1 108 -1 119 -1 120 -1;144.0
113 -1 122 -1 108 -1 119 -1 126 -1;120.0
113 -1 122 -1 108 -1 119 -1 128 -1;96.0
113 -1 122 -1 108 -1 119 -1 126 -1 128 -1;96.0
113 -1 122 -1 108 -1 119 -1 120 -1 128 -1;96.0
113 -1 122 -1 108 -1 119 -1 120 -1 126 -1;120.0
113 -1 122 -1 108 -1 119 -1 120 -1 126 -1 128 -1;96.0
113 -1 122 -1 108 -1 120 -1 126 -1;120.0
113 -1 122 -1 108 -1 120 -1 128 -1;96.0
113 -1 122 -1 108 -1 120 -1 126 -1 128 -1;96.0
113 -1 122 -1 108 -1 126 -1 128 -1;96.0
113 -1 122 -1 98 -1 119 -1 120 -1;120.0
113 -1 122 -1 98 -1 119 -1 126 -1;100.0
113 -1 122 -1 98 -1 119 -1 120 -1 126 -1;100.0
113 -1 122 -1 98 -1 120 -1 126 -1;100.0
113 -1 122 -1 91 -1 119 -1 120 -1;276.0
113 -1 122 -1 91 -1 119 -1 126 -1;230.0
113 -1 122 -1 91 -1 119 -1 128 -1;184.0
113 -1 122 -1 91 -1 119 -1 126 -1 128 -1;184.0
113 -1 122 -1 91 -1 119 -1 120 -1 128 -1;184.0
113 -1 122 -1 91 -1 119 -1 120 -1 126 -1;230.0
113 -1 122 -1 91 -1 119 -1 120 -1 126 -1 128 -1;184.0
113 -1 122 -1 91 -1 120 -1 126 -1;235.0
113 -1 122 -1 91 -1 120 -1 128 -1;188.0
113 -1 122 -1 91 -1 120 -1 126 -1 128 -1;188.0
113 -1 122 -1 91 -1 126 -1 128 -1;192.0
113 -1 126 -1 128 -1;436.0
105 -1 108 -1;477.0
45 -1 108 -1;424.0
108 -1 119 -1 120 -1;616.0
108 -1 119 -1 126 -1;539.0
108 -1 119 -1 128 -1;462.0
108 -1 119 -1 126 -1 128 -1;462.0
108 -1 119 -1 120 -1 128 -1;462.0
108 -1 119 -1 120 -1 126 -1;539.0
108 -1 119 -1 120 -1 126 -1 128 -1;462.0
108 -1 120 -1 126 -1;539.0
108 -1 120 -1 128 -1;462.0
108 -1 120 -1 126 -1 128 -1;462.0
108 -1 126 -1 128 -1;462.0
45 -1 105 -1;477.0
105 -1 108 -1 119 -1;424.0
105 -1 108 -1 120 -1;371.0
105 -1 108 -1 126 -1;318.0
105 -1 108 -1 128 -1;265.0
105 -1 108 -1 126 -1 128 -1;265.0
105 -1 108 -1 120 -1 128 -1;265.0
105 -1 108 -1 119 -1 128 -1;265.0
105 -1 108 -1 120 -1 126 -1;318.0
105 -1 108 -1 119 -1 126 -1;318.0
105 -1 108 -1 119 -1 120 -1;371.0
105 -1 108 -1 120 -1 126 -1 128 -1;265.0
105 -1 108 -1 119 -1 120 -1 126 -1;318.0
105 -1 108 -1 119 -1 120 -1 128 -1;265.0
105 -1 108 -1 119 -1 120 -1 126 -1 128 -1;265.0
105 -1 108 -1 119 -1 126 -1 128 -1;265.0
105 -1 119 -1 120 -1;371.0
105 -1 119 -1 126 -1;318.0
105 -1 119 -1 128 -1;265.0
105 -1 119 -1 126 -1 128 -1;265.0
105 -1 119 -1 120 -1 128 -1;265.0
105 -1 119 -1 120 -1 126 -1;318.0
105 -1 119 -1 120 -1 126 -1 128 -1;265.0
105 -1 120 -1 126 -1;318.0
105 -1 120 -1 128 -1;265.0
105 -1 120 -1 126 -1 128 -1;265.0
105 -1 126 -1 128 -1;265.0
71 -1 98 -1;153.0
54 -1 98 -1;136.0
98 -1 119 -1 120 -1;240.0
98 -1 119 -1 126 -1;210.0
98 -1 119 -1 128 -1;180.0
98 -1 119 -1 126 -1 128 -1;180.0
98 -1 119 -1 120 -1 128 -1;180.0
98 -1 119 -1 120 -1 126 -1;210.0
98 -1 119 -1 120 -1 126 -1 128 -1;180.0
98 -1 120 -1 126 -1;210.0
98 -1 120 -1 128 -1;180.0
98 -1 120 -1 126 -1 128 -1;180.0
98 -1 126 -1 128 -1;192.0
91 -1 60 -1;117.0
52 -1 91 -1;2189.0
91 -1 52 -1;153.0
22 -1 91 -1;1945.0
91 -1 22 -1;306.0
91 -1 22 -1 52 -1;153.0
91 -1 119 -1 22 -1;188.0
91 -1 120 -1 22 -1;198.0
91 -1 126 -1 22 -1;206.0
91 -1 128 -1 22 -1;206.0
91 -1 119 -1 52 -1;94.0
91 -1 120 -1 52 -1;99.0
91 -1 126 -1 52 -1;103.0
91 -1 128 -1 52 -1;103.0
91 -1 119 -1 113 -1;108.0
91 -1 120 -1 113 -1;112.0
91 -1 113 -1 122 -1;88.0
91 -1 126 -1 113 -1;120.0
91 -1 128 -1 113 -1;120.0
91 -1 119 -1 120 -1;1603.0
91 -1 119 -1 126 -1;1403.0
91 -1 119 -1 128 -1;1203.0
91 -1 119 -1 126 -1 128 -1;1203.0
91 -1 119 -1 120 -1 128 -1;1203.0
91 -1 119 -1 128 -1 113 -1;108.0
91 -1 119 -1 128 -1 52 -1;94.0
91 -1 119 -1 128 -1 22 -1;188.0
91 -1 119 -1 128 -1 22 -1 52 -1;94.0
91 -1 119 -1 120 -1 126 -1;1403.0
91 -1 119 -1 126 -1 113 -1;108.0
91 -1 119 -1 126 -1 52 -1;94.0
91 -1 119 -1 126 -1 22 -1;188.0
91 -1 119 -1 126 -1 22 -1 52 -1;94.0
91 -1 119 -1 126 -1 128 -1 22 -1;188.0
91 -1 119 -1 126 -1 128 -1 52 -1;94.0
91 -1 119 -1 126 -1 128 -1 113 -1;108.0
91 -1 119 -1 126 -1 128 -1 22 -1 52 -1;94.0
91 -1 119 -1 120 -1 113 -1;108.0
91 -1 119 -1 120 -1 52 -1;94.0
91 -1 119 -1 120 -1 22 -1;188.0
91 -1 119 -1 120 -1 22 -1 52 -1;94.0
91 -1 119 -1 120 -1 126 -1 22 -1;188.0
91 -1 119 -1 120 -1 128 -1 22 -1;188.0
91 -1 119 -1 120 -1 126 -1 52 -1;94.0
91 -1 119 -1 120 -1 128 -1 52 -1;94.0
91 -1 119 -1 120 -1 126 -1 113 -1;108.0
91 -1 119 -1 120 -1 128 -1 113 -1;108.0
91 -1 119 -1 120 -1 126 -1 128 -1;1203.0
91 -1 119 -1 120 -1 126 -1 128 -1 113 -1;108.0
91 -1 119 -1 120 -1 126 -1 128 -1 52 -1;94.0
91 -1 119 -1 120 -1 126 -1 128 -1 22 -1;188.0
91 -1 119 -1 120 -1 126 -1 128 -1 22 -1 52 -1;94.0
91 -1 119 -1 120 -1 126 -1 22 -1 52 -1;94.0
91 -1 119 -1 120 -1 128 -1 22 -1 52 -1;94.0
91 -1 119 -1 22 -1 52 -1;94.0
91 -1 120 -1 126 -1;1452.0
91 -1 120 -1 128 -1;1245.0
91 -1 120 -1 126 -1 128 -1;1245.0
91 -1 120 -1 128 -1 113 -1;112.0
91 -1 120 -1 128 -1 52 -1;99.0
91 -1 120 -1 128 -1 22 -1;198.0
91 -1 120 -1 128 -1 22 -1 52 -1;99.0
91 -1 120 -1 126 -1 113 -1;112.0
91 -1 120 -1 126 -1 52 -1;99.0
91 -1 120 -1 126 -1 22 -1;198.0
91 -1 120 -1 126 -1 22 -1 52 -1;99.0
91 -1 120 -1 126 -1 128 -1 22 -1;198.0
91 -1 120 -1 126 -1 128 -1 52 -1;99.0
91 -1 120 -1 126 -1 128 -1 113 -1;112.0
91 -1 120 -1 126 -1 128 -1 22 -1 52 -1;99.0
91 -1 120 -1 22 -1 52 -1;99.0
91 -1 125 -1 127 -1;120.0
91 -1 126 -1 128 -1;1293.0
91 -1 126 -1 128 -1 113 -1;120.0
91 -1 126 -1 128 -1 52 -1;103.0
91 -1 126 -1 128 -1 22 -1;206.0
91 -1 126 -1 128 -1 22 -1 52 -1;103.0
91 -1 126 -1 22 -1 52 -1;103.0
91 -1 128 -1 22 -1 52 -1;103.0
54 -1 71 -1;153.0
41 -1 61 -1;306.0
61 -1 115 -1 119 -1;144.0
61 -1 115 -1 120 -1;126.0
61 -1 115 -1 126 -1;108.0
61 -1 115 -1 128 -1;90.0
61 -1 115 -1 126 -1 128 -1;90.0
61 -1 115 -1 120 -1 128 -1;90.0
61 -1 115 -1 119 -1 128 -1;90.0
61 -1 115 -1 120 -1 126 -1;108.0
61 -1 115 -1 119 -1 126 -1;108.0
61 -1 115 -1 119 -1 120 -1;126.0
61 -1 115 -1 120 -1 126 -1 128 -1;90.0
61 -1 115 -1 119 -1 120 -1 126 -1;108.0
61 -1 115 -1 119 -1 120 -1 128 -1;90.0
61 -1 115 -1 119 -1 120 -1 126 -1 128 -1;90.0
61 -1 115 -1 119 -1 126 -1 128 -1;90.0
61 -1 119 -1 120 -1;126.0
61 -1 119 -1 126 -1;108.0
61 -1 119 -1 128 -1;90.0
61 -1 119 -1 126 -1 128 -1;90.0
61 -1 119 -1 120 -1 128 -1;90.0
61 -1 119 -1 120 -1 126 -1;108.0
61 -1 119 -1 120 -1 126 -1 128 -1;90.0
61 -1 120 -1 126 -1;108.0
61 -1 120 -1 128 -1;90.0
61 -1 120 -1 126 -1 128 -1;90.0
61 -1 126 -1 128 -1;90.0
52 -1 60 -1;96.0
54 -1 71 -1 98 -1;136.0
22 -1 52 -1;2188.0
52 -1 22 -1;120.0
52 -1 91 -1 22 -1;120.0
52 -1 91 -1 60 -1;96.0
52 -1 91 -1 119 -1;1234.0
52 -1 91 -1 120 -1;1122.0
52 -1 91 -1 125 -1;112.0
52 -1 91 -1 126 -1;1004.0
52 -1 91 -1 127 -1;98.0
52 -1 91 -1 128 -1;837.0
52 -1 91 -1 126 -1 128 -1;837.0
52 -1 91 -1 120 -1 128 -1;802.0
52 -1 91 -1 119 -1 128 -1;772.0
52 -1 91 -1 125 -1 127 -1;98.0
52 -1 91 -1 120 -1 126 -1;962.0
52 -1 91 -1 119 -1 126 -1;926.0
52 -1 91 -1 119 -1 120 -1;1080.0
52 -1 91 -1 120 -1 126 -1 128 -1;802.0
52 -1 91 -1 119 -1 120 -1 126 -1;926.0
52 -1 91 -1 119 -1 120 -1 128 -1;772.0
52 -1 91 -1 119 -1 120 -1 126 -1 128 -1;772.0
52 -1 91 -1 119 -1 126 -1 128 -1;772.0
52 -1 119 -1 120 -1;1080.0
52 -1 119 -1 126 -1;926.0
52 -1 119 -1 128 -1;772.0
52 -1 119 -1 126 -1 128 -1;772.0
52 -1 119 -1 120 -1 128 -1;772.0
52 -1 119 -1 120 -1 126 -1;926.0
52 -1 119 -1 120 -1 126 -1 128 -1;772.0
52 -1 120 -1 126 -1;962.0
52 -1 120 -1 128 -1;802.0
52 -1 120 -1 126 -1 128 -1;802.0
52 -1 125 -1 127 -1;98.0
52 -1 126 -1 128 -1;837.0
45 -1 105 -1 108 -1;424.0
45 -1 105 -1 119 -1;371.0
45 -1 105 -1 120 -1;318.0
45 -1 105 -1 126 -1;265.0
45 -1 105 -1 128 -1;212.0
45 -1 105 -1 126 -1 128 -1;212.0
45 -1 105 -1 120 -1 128 -1;212.0
45 -1 105 -1 119 -1 128 -1;212.0
45 -1 105 -1 108 -1 128 -1;212.0
45 -1 105 -1 120 -1 126 -1;265.0
45 -1 105 -1 119 -1 126 -1;265.0
45 -1 105 -1 108 -1 126 -1;265.0
45 -1 105 -1 119 -1 120 -1;318.0
45 -1 105 -1 108 -1 120 -1;318.0
45 -1 105 -1 120 -1 126 -1 128 -1;212.0
45 -1 105 -1 108 -1 119 -1;371.0
45 -1 105 -1 119 -1 120 -1 126 -1;265.0
45 -1 105 -1 119 -1 120 -1 128 -1;212.0
45 -1 105 -1 119 -1 120 -1 126 -1 128 -1;212.0
45 -1 105 -1 119 -1 126 -1 128 -1;212.0
45 -1 105 -1 108 -1 119 -1 120 -1;318.0
45 -1 105 -1 108 -1 119 -1 126 -1;265.0
45 -1 105 -1 108 -1 119 -1 128 -1;212.0
45 -1 105 -1 108 -1 119 -1 126 -1 128 -1;212.0
45 -1 105 -1 108 -1 119 -1 120 -1 128 -1;212.0
45 -1 105 -1 108 -1 119 -1 120 -1 126 -1;265.0
45 -1 105 -1 108 -1 119 -1 120 -1 126 -1 128 -1;212.0
45 -1 105 -1 108 -1 120 -1 126 -1;265.0
45 -1 105 -1 108 -1 120 -1 128 -1;212.0
45 -1 105 -1 108 -1 120 -1 126 -1 128 -1;212.0
45 -1 105 -1 108 -1 126 -1 128 -1;212.0
45 -1 108 -1 119 -1;371.0
45 -1 108 -1 120 -1;318.0
45 -1 108 -1 126 -1;265.0
45 -1 108 -1 128 -1;212.0
45 -1 108 -1 126 -1 128 -1;212.0
45 -1 108 -1 120 -1 128 -1;212.0
45 -1 108 -1 119 -1 128 -1;212.0
45 -1 108 -1 120 -1 126 -1;265.0
45 -1 108 -1 119 -1 126 -1;265.0
45 -1 108 -1 119 -1 120 -1;318.0
45 -1 108 -1 120 -1 126 -1 128 -1;212.0
45 -1 108 -1 119 -1 120 -1 126 -1;265.0
45 -1 108 -1 119 -1 120 -1 128 -1;212.0
45 -1 108 -1 119 -1 120 -1 126 -1 128 -1;212.0
45 -1 108 -1 119 -1 126 -1 128 -1;212.0
45 -1 119 -1 120 -1;318.0
45 -1 119 -1 126 -1;265.0
45 -1 119 -1 128 -1;212.0
45 -1 119 -1 126 -1 128 -1;212.0
45 -1 119 -1 120 -1 128 -1;212.0
45 -1 119 -1 120 -1 126 -1;265.0
45 -1 119 -1 120 -1 126 -1 128 -1;212.0
45 -1 120 -1 126 -1;265.0
45 -1 120 -1 128 -1;212.0
45 -1 120 -1 126 -1 128 -1;212.0
45 -1 126 -1 128 -1;212.0
41 -1 61 -1 115 -1;272.0
41 -1 61 -1 119 -1;126.0
41 -1 61 -1 120 -1;108.0
41 -1 61 -1 126 -1;90.0
41 -1 61 -1 120 -1 126 -1;90.0
41 -1 61 -1 119 -1 126 -1;90.0
41 -1 61 -1 115 -1 126 -1;90.0
41 -1 61 -1 119 -1 120 -1;108.0
41 -1 61 -1 115 -1 120 -1;108.0
41 -1 61 -1 115 -1 119 -1;126.0
41 -1 61 -1 119 -1 120 -1 126 -1;90.0
41 -1 61 -1 115 -1 119 -1 120 -1;108.0
41 -1 61 -1 115 -1 119 -1 126 -1;90.0
41 -1 61 -1 115 -1 119 -1 120 -1 126 -1;90.0
41 -1 61 -1 115 -1 120 -1 126 -1;90.0
41 -1 115 -1 119 -1;126.0
41 -1 115 -1 120 -1;108.0
41 -1 115 -1 126 -1;90.0
41 -1 115 -1 120 -1 126 -1;90.0
41 -1 115 -1 119 -1 126 -1;90.0
41 -1 115 -1 119 -1 120 -1;108.0
41 -1 115 -1 119 -1 120 -1 126 -1;90.0
41 -1 119 -1 120 -1;108.0
41 -1 119 -1 126 -1;90.0
41 -1 119 -1 120 -1 126 -1;90.0
41 -1 120 -1 126 -1;90.0
22 -1 52 -1 91 -1;1945.0
22 -1 52 -1 119 -1;1079.0
22 -1 52 -1 120 -1;961.0
22 -1 52 -1 125 -1;98.0
22 -1 52 -1 126 -1;836.0
22 -1 52 -1 128 -1;669.0
22 -1 52 -1 126 -1 128 -1;669.0
22 -1 52 -1 120 -1 128 -1;641.0
22 -1 52 -1 119 -1 128 -1;617.0
22 -1 52 -1 91 -1 128 -1;669.0
22 -1 52 -1 120 -1 126 -1;801.0
22 -1 52 -1 119 -1 126 -1;771.0
22 -1 52 -1 91 -1 126 -1;836.0
22 -1 52 -1 91 -1 125 -1;98.0
22 -1 52 -1 119 -1 120 -1;925.0
22 -1 52 -1 91 -1 120 -1;961.0
22 -1 52 -1 120 -1 126 -1 128 -1;641.0
22 -1 52 -1 91 -1 119 -1;1079.0
22 -1 52 -1 119 -1 120 -1 126 -1;771.0
22 -1 52 -1 119 -1 120 -1 128 -1;617.0
22 -1 52 -1 119 -1 120 -1 126 -1 128 -1;617.0
22 -1 52 -1 119 -1 126 -1 128 -1;617.0
22 -1 52 -1 91 -1 119 -1 120 -1;925.0
22 -1 52 -1 91 -1 119 -1 126 -1;771.0
22 -1 52 -1 91 -1 119 -1 128 -1;617.0
22 -1 52 -1 91 -1 119 -1 126 -1 128 -1;617.0
22 -1 52 -1 91 -1 119 -1 120 -1 128 -1;617.0
22 -1 52 -1 91 -1 119 -1 120 -1 126 -1;771.0
22 -1 52 -1 91 -1 119 -1 120 -1 126 -1 128 -1;617.0
22 -1 52 -1 91 -1 120 -1 126 -1;801.0
22 -1 52 -1 91 -1 120 -1 128 -1;641.0
22 -1 52 -1 91 -1 120 -1 126 -1 128 -1;641.0
22 -1 52 -1 91 -1 126 -1 128 -1;669.0
22 -1 91 -1 119 -1;1079.0
22 -1 91 -1 120 -1;961.0
22 -1 91 -1 125 -1;98.0
22 -1 91 -1 126 -1;836.0
22 -1 91 -1 128 -1;669.0
22 -1 91 -1 126 -1 128 -1;669.0
22 -1 91 -1 120 -1 128 -1;641.0
22 -1 91 -1 119 -1 128 -1;617.0
22 -1 91 -1 120 -1 126 -1;801.0
22 -1 91 -1 119 -1 126 -1;771.0
22 -1 91 -1 119 -1 120 -1;925.0
22 -1 91 -1 120 -1 126 -1 128 -1;641.0
22 -1 91 -1 119 -1 120 -1 126 -1;771.0
22 -1 91 -1 119 -1 120 -1 128 -1;617.0
22 -1 91 -1 119 -1 120 -1 126 -1 128 -1;617.0
22 -1 91 -1 119 -1 126 -1 128 -1;617.0
22 -1 119 -1 120 -1;925.0
22 -1 119 -1 126 -1;771.0
22 -1 119 -1 128 -1;617.0
22 -1 119 -1 126 -1 128 -1;617.0
22 -1 119 -1 120 -1 128 -1;617.0
22 -1 119 -1 120 -1 126 -1;771.0
22 -1 119 -1 120 -1 126 -1 128 -1;617.0
22 -1 120 -1 126 -1;801.0
22 -1 120 -1 128 -1;641.0
22 -1 120 -1 126 -1 128 -1;641.0
22 -1 126 -1 128 -1;669.0
