Pattern;#SUP:
126 -1 98 -1;93.0
91 -1 126 -1;1508.0
126 -1 91 -1;690.0
61 -1 126 -1;108.0
126 -1 61 -1;104.0
52 -1 126 -1;1004.0
126 -1 52 -1;716.0
45 -1 126 -1;265.0
126 -1 45 -1;190.0
41 -1 126 -1;90.0
126 -1 41 -1;130.0
22 -1 126 -1;836.0
126 -1 22 -1;895.0
126 -1 22 -1 52 -1;716.0
126 -1 22 -1 91 -1;537.0
126 -1 22 -1 119 -1;230.0
126 -1 22 -1 120 -1;117.0
126 -1 128 -1 22 -1;895.0
126 -1 22 -1 119 -1 120 -1;115.0
126 -1 22 -1 91 -1 120 -1;117.0
126 -1 22 -1 52 -1 120 -1;117.0
126 -1 22 -1 91 -1 119 -1;230.0
126 -1 22 -1 52 -1 119 -1;230.0
126 -1 22 -1 52 -1 91 -1;537.0
126 -1 22 -1 91 -1 119 -1 120 -1;115.0
126 -1 22 -1 52 -1 91 -1 119 -1;230.0
126 -1 22 -1 52 -1 91 -1 120 -1;117.0
126 -1 22 -1 52 -1 91 -1 119 -1 120 -1;115.0
126 -1 22 -1 52 -1 119 -1 120 -1;115.0
126 -1 41 -1 61 -1;104.0
126 -1 128 -1 41 -1;130.0
126 -1 45 -1 105 -1;152.0
126 -1 45 -1 108 -1;114.0
126 -1 128 -1 45 -1;190.0
126 -1 45 -1 105 -1 108 -1;114.0
126 -1 52 -1 91 -1;537.0
126 -1 52 -1 119 -1;230.0
126 -1 52 -1 120 -1;117.0
126 -1 128 -1 52 -1;716.0
126 -1 52 -1 119 -1 120 -1;115.0
126 -1 52 -1 91 -1 120 -1;117.0
126 -1 52 -1 91 -1 119 -1;230.0
126 -1 52 -1 91 -1 119 -1 120 -1;115.0
126 -1 128 -1 61 -1;104.0
126 -1 113 -1 91 -1;153.0
126 -1 91 -1 119 -1;306.0
126 -1 91 -1 120 -1;155.0
126 -1 122 -1 91 -1;153.0
126 -1 128 -1 91 -1;690.0
126 -1 91 -1 119 -1 120 -1;153.0
126 -1 128 -1 98 -1;93.0
126 -1 105 -1 108 -1;114.0
126 -1 128 -1 105 -1;152.0
126 -1 108 -1 119 -1;104.0
126 -1 128 -1 108 -1;156.0
126 -1 113 -1 119 -1;152.0
126 -1 113 -1 122 -1;420.0
126 -1 128 -1 113 -1;525.0
126 -1 113 -1 122 -1 119 -1;152.0
126 -1 113 -1 122 -1 91 -1;153.0
126 -1 128 -1 115 -1;135.0
126 -1 119 -1 120 -1;251.0
126 -1 122 -1 119 -1;152.0
126 -1 128 -1 119 -1;502.0
126 -1 128 -1 120 -1;253.0
126 -1 128 -1 122 -1;420.0
126 -1 128 -1 122 -1 119 -1;152.0
126 -1 128 -1 113 -1 122 -1;420.0
126 -1 128 -1 122 -1 91 -1;153.0
126 -1 128 -1 119 -1 120 -1;251.0
126 -1 128 -1 91 -1 120 -1;155.0
126 -1 128 -1 52 -1 120 -1;117.0
126 -1 128 -1 22 -1 120 -1;117.0
126 -1 128 -1 113 -1 119 -1;152.0
126 -1 128 -1 108 -1 119 -1;104.0
126 -1 128 -1 91 -1 119 -1;306.0
126 -1 128 -1 52 -1 119 -1;230.0
126 -1 128 -1 22 -1 119 -1;230.0
126 -1 128 -1 113 -1 91 -1;153.0
126 -1 128 -1 113 -1 122 -1 91 -1;153.0
126 -1 128 -1 113 -1 122 -1 119 -1;152.0
126 -1 128 -1 105 -1 108 -1;114.0
126 -1 128 -1 45 -1 108 -1;114.0
126 -1 128 -1 45 -1 105 -1;152.0
126 -1 128 -1 52 -1 91 -1;537.0
126 -1 128 -1 22 -1 91 -1;537.0
126 -1 128 -1 91 -1 119 -1 120 -1;153.0
126 -1 128 -1 41 -1 61 -1;104.0
126 -1 128 -1 22 -1 52 -1;716.0
126 -1 128 -1 52 -1 91 -1 119 -1;230.0
126 -1 128 -1 52 -1 91 -1 120 -1;117.0
126 -1 128 -1 52 -1 91 -1 119 -1 120 -1;115.0
126 -1 128 -1 52 -1 119 -1 120 -1;115.0
126 -1 128 -1 45 -1 105 -1 108 -1;114.0
126 -1 128 -1 22 -1 52 -1 91 -1;537.0
126 -1 128 -1 22 -1 52 -1 119 -1;230.0
126 -1 128 -1 22 -1 52 -1 120 -1;117.0
126 -1 128 -1 22 -1 52 -1 119 -1 120 -1;115.0
126 -1 128 -1 22 -1 52 -1 91 -1 120 -1;117.0
126 -1 128 -1 22 -1 52 -1 91 -1 119 -1;230.0
126 -1 128 -1 22 -1 52 -1 91 -1 119 -1 120 -1;115.0
126 -1 128 -1 22 -1 91 -1 119 -1;230.0
126 -1 128 -1 22 -1 91 -1 120 -1;117.0
126 -1 128 -1 22 -1 91 -1 119 -1 120 -1;115.0
126 -1 128 -1 22 -1 119 -1 120 -1;115.0
91 -1 125 -1;135.0
52 -1 125 -1;112.0
22 -1 125 -1;98.0
125 -1 127 -1 126 -1;128.0
125 -1 126 -1 128 -1;112.0
125 -1 127 -1 128 -1;112.0
125 -1 127 -1 126 -1 128 -1;112.0
120 -1 122 -1;303.0
122 -1 120 -1;735.0
119 -1 122 -1;196.0
122 -1 119 -1;824.0
122 -1 115 -1;270.0
113 -1 122 -1;1332.0
122 -1 108 -1;216.0
122 -1 98 -1;234.0
91 -1 122 -1;88.0
122 -1 91 -1;576.0
122 -1 91 -1 119 -1;368.0
122 -1 91 -1 120 -1;329.0
122 -1 91 -1 126 -1;288.0
122 -1 91 -1 128 -1;240.0
122 -1 91 -1 126 -1 128 -1;240.0
122 -1 91 -1 120 -1 128 -1;235.0
122 -1 91 -1 119 -1 128 -1;230.0
122 -1 91 -1 120 -1 126 -1;282.0
122 -1 91 -1 119 -1 126 -1;276.0
122 -1 91 -1 119 -1 120 -1;322.0
122 -1 91 -1 120 -1 126 -1 128 -1;235.0
122 -1 91 -1 119 -1 120 -1 126 -1;276.0
122 -1 91 -1 119 -1 120 -1 128 -1;230.0
122 -1 91 -1 119 -1 120 -1 126 -1 128 -1;230.0
122 -1 91 -1 119 -1 126 -1 128 -1;230.0
122 -1 98 -1 119 -1;160.0
122 -1 98 -1 120 -1;140.0
122 -1 98 -1 126 -1;126.0
122 -1 98 -1 128 -1;105.0
122 -1 98 -1 126 -1 128 -1;105.0
122 -1 98 -1 120 -1 128 -1;100.0
122 -1 98 -1 119 -1 128 -1;100.0
122 -1 98 -1 120 -1 126 -1;120.0
122 -1 98 -1 119 -1 126 -1;120.0
122 -1 98 -1 119 -1 120 -1;140.0
122 -1 98 -1 120 -1 126 -1 128 -1;100.0
122 -1 98 -1 119 -1 120 -1 126 -1;120.0
122 -1 98 -1 119 -1 120 -1 128 -1;100.0
122 -1 98 -1 119 -1 120 -1 126 -1 128 -1;100.0
122 -1 98 -1 119 -1 126 -1 128 -1;100.0
122 -1 108 -1 119 -1;192.0
122 -1 108 -1 120 -1;168.0
122 -1 108 -1 126 -1;144.0
122 -1 108 -1 128 -1;120.0
122 -1 108 -1 126 -1 128 -1;120.0
122 -1 108 -1 120 -1 128 -1;120.0
122 -1 108 -1 119 -1 128 -1;120.0
122 -1 108 -1 120 -1 126 -1;144.0
122 -1 108 -1 119 -1 126 -1;144.0
122 -1 108 -1 119 -1 120 -1;168.0
122 -1 108 -1 120 -1 126 -1 128 -1;120.0
122 -1 108 -1 119 -1 120 -1 126 -1;144.0
122 -1 108 -1 119 -1 120 -1 128 -1;120.0
122 -1 108 -1 119 -1 120 -1 126 -1 128 -1;120.0
122 -1 108 -1 119 -1 126 -1 128 -1;120.0
122 -1 115 -1 119 -1;104.0
122 -1 115 -1 120 -1;98.0
122 -1 115 -1 126 -1;90.0
122 -1 115 -1 119 -1 120 -1;91.0
122 -1 119 -1 120 -1;721.0
122 -1 119 -1 126 -1;618.0
122 -1 119 -1 128 -1;515.0
122 -1 119 -1 126 -1 128 -1;515.0
122 -1 119 -1 120 -1 128 -1;515.0
122 -1 119 -1 120 -1 126 -1;618.0
122 -1 119 -1 120 -1 126 -1 128 -1;515.0
122 -1 120 -1 126 -1;630.0
122 -1 120 -1 128 -1;525.0
122 -1 120 -1 126 -1 128 -1;525.0
122 -1 126 -1 128 -1;545.0
119 -1 120 -1;3046.0
120 -1 119 -1;237.0
115 -1 120 -1;256.0
120 -1 115 -1;88.0
113 -1 120 -1;630.0
120 -1 113 -1;404.0
108 -1 120 -1;616.0
120 -1 108 -1;98.0
105 -1 120 -1;371.0
120 -1 105 -1;111.0
98 -1 120 -1;240.0
91 -1 120 -1;1659.0
120 -1 91 -1;440.0
61 -1 120 -1;126.0
52 -1 120 -1;1122.0
120 -1 52 -1;507.0
45 -1 120 -1;318.0
120 -1 45 -1;148.0
41 -1 120 -1;108.0
120 -1 41 -1;104.0
22 -1 120 -1;961.0
120 -1 22 -1;676.0
120 -1 22 -1 52 -1;507.0
120 -1 22 -1 91 -1;338.0
120 -1 22 -1 119 -1;106.0
120 -1 126 -1 22 -1;676.0
120 -1 128 -1 22 -1;676.0
120 -1 22 -1 91 -1 119 -1;106.0
120 -1 22 -1 52 -1 119 -1;106.0
120 -1 22 -1 52 -1 91 -1;338.0
120 -1 22 -1 52 -1 91 -1 119 -1;106.0
120 -1 126 -1 41 -1;104.0
120 -1 128 -1 41 -1;104.0
120 -1 45 -1 105 -1;111.0
120 -1 126 -1 45 -1;148.0
120 -1 128 -1 45 -1;148.0
120 -1 52 -1 91 -1;338.0
120 -1 52 -1 119 -1;106.0
120 -1 126 -1 52 -1;507.0
120 -1 128 -1 52 -1;507.0
120 -1 52 -1 91 -1 119 -1;106.0
120 -1 113 -1 91 -1;102.0
120 -1 91 -1 119 -1;144.0
120 -1 122 -1 91 -1;102.0
120 -1 126 -1 91 -1;440.0
120 -1 128 -1 91 -1;440.0
120 -1 126 -1 105 -1;111.0
120 -1 128 -1 105 -1;111.0
120 -1 126 -1 108 -1;98.0
120 -1 128 -1 108 -1;98.0
120 -1 113 -1 122 -1;303.0
120 -1 126 -1 113 -1;404.0
120 -1 128 -1 113 -1;404.0
120 -1 113 -1 122 -1 91 -1;102.0
120 -1 126 -1 115 -1;88.0
120 -1 128 -1 115 -1;88.0
120 -1 126 -1 119 -1;237.0
120 -1 128 -1 119 -1;237.0
120 -1 126 -1 122 -1;303.0
120 -1 128 -1 122 -1;303.0
120 -1 126 -1 128 -1;2773.0
120 -1 126 -1 128 -1 122 -1;303.0
120 -1 126 -1 128 -1 119 -1;237.0
120 -1 126 -1 128 -1 115 -1;88.0
120 -1 126 -1 128 -1 113 -1;404.0
120 -1 126 -1 128 -1 108 -1;98.0
120 -1 126 -1 128 -1 105 -1;111.0
120 -1 126 -1 128 -1 91 -1;440.0
120 -1 126 -1 128 -1 52 -1;507.0
120 -1 126 -1 128 -1 45 -1;148.0
120 -1 126 -1 128 -1 41 -1;104.0
120 -1 126 -1 128 -1 22 -1;676.0
120 -1 126 -1 128 -1 22 -1 52 -1;507.0
120 -1 126 -1 128 -1 22 -1 91 -1;338.0
120 -1 126 -1 128 -1 22 -1 119 -1;106.0
120 -1 126 -1 128 -1 22 -1 91 -1 119 -1;106.0
120 -1 126 -1 128 -1 22 -1 52 -1 119 -1;106.0
120 -1 126 -1 128 -1 22 -1 52 -1 91 -1;338.0
120 -1 126 -1 128 -1 22 -1 52 -1 91 -1 119 -1;106.0
120 -1 126 -1 128 -1 45 -1 105 -1;111.0
120 -1 126 -1 128 -1 52 -1 91 -1;338.0
120 -1 126 -1 128 -1 52 -1 119 -1;106.0
120 -1 126 -1 128 -1 52 -1 91 -1 119 -1;106.0
120 -1 126 -1 128 -1 113 -1 91 -1;102.0
120 -1 126 -1 128 -1 91 -1 119 -1;144.0
120 -1 126 -1 128 -1 122 -1 91 -1;102.0
120 -1 126 -1 128 -1 113 -1 122 -1;303.0
120 -1 126 -1 128 -1 113 -1 122 -1 91 -1;102.0
120 -1 126 -1 113 -1 122 -1;303.0
120 -1 126 -1 122 -1 91 -1;102.0
120 -1 126 -1 91 -1 119 -1;144.0
120 -1 126 -1 52 -1 119 -1;106.0
120 -1 126 -1 22 -1 119 -1;106.0
120 -1 126 -1 113 -1 91 -1;102.0
120 -1 126 -1 113 -1 122 -1 91 -1;102.0
120 -1 126 -1 45 -1 105 -1;111.0
120 -1 126 -1 52 -1 91 -1;338.0
120 -1 126 -1 22 -1 91 -1;338.0
120 -1 126 -1 22 -1 52 -1;507.0
120 -1 126 -1 52 -1 91 -1 119 -1;106.0
120 -1 126 -1 22 -1 52 -1 91 -1;338.0
120 -1 126 -1 22 -1 52 -1 119 -1;106.0
120 -1 126 -1 22 -1 52 -1 91 -1 119 -1;106.0
120 -1 126 -1 22 -1 91 -1 119 -1;106.0
120 -1 128 -1 113 -1 122 -1;303.0
120 -1 128 -1 122 -1 91 -1;102.0
120 -1 128 -1 91 -1 119 -1;144.0
120 -1 128 -1 52 -1 119 -1;106.0
120 -1 128 -1 22 -1 119 -1;106.0
120 -1 128 -1 113 -1 91 -1;102.0
120 -1 128 -1 113 -1 122 -1 91 -1;102.0
120 -1 128 -1 45 -1 105 -1;111.0
120 -1 128 -1 52 -1 91 -1;338.0
120 -1 128 -1 22 -1 91 -1;338.0
120 -1 128 -1 22 -1 52 -1;507.0
120 -1 128 -1 52 -1 91 -1 119 -1;106.0
120 -1 128 -1 22 -1 52 -1 91 -1;338.0
120 -1 128 -1 22 -1 52 -1 119 -1;106.0
120 -1 128 -1 22 -1 52 -1 91 -1 119 -1;106.0
120 -1 128 -1 22 -1 91 -1 119 -1;106.0
115 -1 119 -1;279.0
113 -1 119 -1;721.0
119 -1 113 -1;294.0
108 -1 119 -1;693.0
